,project_name,bid_classification,bid_type,Category
435,"Winter Maintenance And Spring Clean-Up At York Region Transit Facilities In The Town Of Newmarket, Town Of Aurora, Town Of East Gwillimbury And Town Of Georgina",Services,Request for Tender(RFT),
440,Winter Maintenance And Spring Clean-Up At York Region Transit Facilities In The City Of Richmond Hill,Services,Request for Tender(RFT),
448,"Contractor Services For Moves, Adds And Changes, Including Emergency Repairs And Maintenance On The Yorknet Fibre Optic Network In Various Locations Within York Region",Construction,Request for Tender(RFT),
454,Winter Maintenance And Spring Clean-Up At York Region Transit Facilities In The City Of Markham And Town Of Whitchurch-Stouffville,Services,Request for Tender(RFT),
457,"Intersection Improvements At The Vaughan City Hall Main Entrance, 2141 Major Mackenzie Drive West (Y.R. 25) In The City Of Vaughan",Construction,Request for Tender(RFT),
460,Courier Services For Public Health: Infectious Disease Control And Healthy Living Divisions,Services,Request for Proposal(RFP),
464,Cycle Track And Multi-Use Path Winter Maintenance For The Regional Municipality Of York - Southwest District,Services,Request for Tender(RFT),
469,The Renovation Of The York Region Archives Located In The Administrative Centre,Construction,Request for Pre-Qualification(RFPQ),
476,"Off-Site Environmental Remediation And On-Site Environmental Risk Assessment Services For 151, 157 To 159, And 161 Davis Drive In Newmarket, On",Services,Request for Proposal(RFP),
478,"Prequalification Of General Contractors For Landscape Maintenance Activities, Including Watering At Various Locations In  York Region",Construction,Request for Pre-Qualification(RFPQ),
481,"Structural Subcontractor For Rutherford Road From 85M East Of Highway 400 To Westburne Drive, City Of Vaughan",Services,Request for Pre-Qualification(RFPQ),
493,"The Renovation Of The Ground, Second And Fifth Floors At South Services Centre",Construction,Request for Pre-Qualification(RFPQ),
513,Transit Operations And Maintenance Contract - West-North Transit Division,Services,Request for Proposal(RFP),
519,Provision Of Corporate Online Payment Provider(S),Services,Request for Information (RFI),
527,Duffin Creek Water Pollution Control Plant Outfall Diffusers Upgrade,Construction,Request for Pre-Qualification(RFPQ),
529,Construction Of #1 District York Regional Police Headquarters At 429 Harry Walker Parkway South In Newmarket,Construction,Request for Tender(RFT),
532,Bypass Pumping Subcontractors For The Keswick Sewage Pumping Station Upgrades,Construction,Request for Pre-Qualification(RFPQ),
536,Pre-Qualification For Micro-Tunneling Subcontractors For The Keswick Sewage Pumping Station Upgrades,Construction,Request for Pre-Qualification(RFPQ),
540,Prequalification Of General Contractor For The  Rehabilitation Of The Humber Jane Sanitary Trunk Sewer,Construction,Request for Pre-Qualification(RFPQ),
542,"General Contractors, And Waterproofing And Reservoir Restoration Subcontractors For The Water Reservoir Upgrades In The City Of Vaughan",Construction,Request for Pre-Qualification(RFPQ),
567,"Culvert Rehabilitation On Davis Drive (Y.R. 31), 1.41 Km East Of Woodbine Avenue In The Town Of East Gwillimbury",Construction,Request for Tender(RFT),
572,"Hydrogen Sulphide Corrosion Control Services In The Town Of Newmarket, Town Of Aurora And City Of Richmond Hill",Services,Request for Proposal(RFP),
574,"Construction Of A Gravel Parking Lot At The Davis Drive Tract Of The York Regional Forest Located At 17242 Mccowan Road, Town Of Whitchurch-Stouffville",Construction,Request for Tender(RFT),
590,"Installation Of The Natural Gas Generator At Oxford Village Located At 84 Oakridge Court,  Holland Landing, On",Construction,Request for Tender(RFT),
600,Request For Information For Supply And Delivery Of Food Items And Associated Software,Services,Request for Information (RFI),
603,"Construction Of 880M Crushed Limestone Access Trail And The Construction Of 265M Crushed Limestone Secondary Trail - 5345 15Th Sideroad, Township Of King",Construction,Request for Tender(RFT),
618,Upgrades To Valve Chamber Frame And Covers At Various Locations Throughout York Region,Construction,Request for Tender(RFT),
620,Denture Services For The Seniors Dental Care Program Within The Regional Municipality Of York,Services,Others,
621,Window Replacement At The Administrative Centre,Construction,Request for Pre-Qualification(RFPQ),
625,Prequalification Of General Contractor And Microtunneling Subcontractor Team For The Installation Of A Trunk Sanitary Sewer In The City Of Richmond Hill And The City Of Markham,Construction,Request for Pre-Qualification(RFPQ),
632,Railway Level Crossing Rehabilitation At Various Locations In The Regional Municipality Of York,Construction,Request for Tender(RFT),
636,York-Peel 900Mm Twin Forcemains Combined Air Release Valve Modification - Steeles Avenue From 800M East Of Torbram Road In The City Of Brampton To 400M West Of Islington Avenue In The City Of Vaughan,Construction,Request for Tender(RFT),
638,"Culvert Removal And Replacement At Various Locations In The City Of Vaughan, The Town Of Whitchurch-Stouffville And The Town Of Georgina",Construction,Request for Tender(RFT),
644,"Prequalification Of General Contractor Fof The Interior Renovations To Block A, B And D On The 3Rd Floor And Grou Floor Agora Space At The York Region Administrative Centre At 17250 Yonge Street, Newmarket, Ontario",Construction,Request for Pre-Qualification(RFPQ),
671,Consultants For Detail Design Of Various Capital Road Improvement Projects,Services,Request for Pre-Qualification(RFPQ),
694,"Front Entrance And Patio Landscape Upgrades Springbrook Gardens, 50 Silver Linden Drive, City Of Richmond Hill",Construction,Request for Tender(RFT),
704,Culvert Design And Rehabilitation At Various Locations In The City Of Markham And The Town Of East Gwillimbury,Construction,Request for Tender(RFT),
706,Installation Of Permanent Traffic Control Signals On Aurora Road (Y.R.15) At Mccowan Road (Y.R.67) In The Town Of Whitchurch-Stouffville & Installation Of Four-Way Flashing Beacons On Herald Road At Mccowan Road (Y.R.67) In The Town Of East Gwillimbury,Construction,Request for Tender(RFT),
711,"Engineering Services For The Design, Contract Administration And The Site Inspection Services For The Musselman’S Lake Elevated Tank Upgrades",Services,Request for Proposal(RFP),
714,"Renovations To The Office Space On The 3Rd And 4Th Floors Of The York Region South Services Centre,  50 High Tech Road In The City Of Richmond Hill",Construction,Request for Tender(RFT),
726,"Asphalt Removal, Warm Mix Asphalt Paving And Intersection Improvements On Highway 7, Islington Avenue And Langstaff Road In The City Of Vaughan",Construction,Request for Tender(RFT),
734,"Leslie Street Sanitary Trunk Sewer Rehabilitation, Leslie Street South Of Hwy 407, From Mh 43-04 To Mh 49-Jc), Located Near 8111 Leslie Street  In The City Of Markham",Construction,Request for Tender(RFT),
736,Supply And Delivery Of Fresh Fruits And Vegetables For York Region'S Long-Term Care Homes,Goods,Request for Tender(RFT),
741,General Contractors For Expansion Of A York Region Transit Bus Operations And Maintenance Facility At 55 Orlando Avenue In The City Of Richmond Hill,Construction,Request for Pre-Qualification(RFPQ),
750,"Sutton Water Resource Recovery Facility (Wrrf) - New Equalization Tank And Upgrades At 5741 Black River Road, Sutton In The Town Of Georgina",Construction,Request for Tender(RFT),
754,Veritas Netbackup Licenses & Support,Services,Request for Tender(RFT),
757,Installation Of Traffic Control Signals On Warden Avenue (Y.R. 65) At Masseyfield Gate/Gibson Drive In The City Of Markham,Construction,Request for Tender(RFT),
763,"Consulting Services For Microsoft Data Warehouse, Business Intelligence And Tools",Services,Request for Proposal(RFP),
771,Ibm Cognos Software Subscription & Support,Services,Request for Tender(RFT),
777,"General Contractors - Replacement Of Flooring And Acrovyn Railing Covers In The Residents Public Corridors:  194 Eagle St, Newmarket And 10424 Keele St, Vaughan",Construction,Request for Pre-Qualification(RFPQ),
784,"Asphalt Removal, Warm Mix Asphalt Paving And Culvert Replacement On Leslie Street In The City Of Richmond Hill",Construction,Request for Tender(RFT),
796,Ditch Repair At Various Locations In York Region,Construction,Request for Tender(RFT),
801,Aoda Modifications To Existing Traffic Control Signals On Woodbine Avenue At Russell Dawson Road And At Victoria Square Boulevard In The City Of Markham,Construction,Request for Tender(RFT),
809,"General Contractors For Landscape Maintenance Activities, Including Watering At Various Locations In York Region",Services,Request for Pre-Qualification(RFPQ),
811,"Condition Assessment Of Mount Albert Water Resources Recovery Facility (Wrrf), Joe Dales Sanitary Sewage Pumping Station And Georgina No. 4 Sanitary Pumping Station",Services,Request for Proposal(RFP),
818,Winter Road Maintenance Operations In The Southeast Patrol District In The Regional Municipality Of York,Construction,Request for Tender(RFT),
826,"General Contractors For The Construction Of The Extension Of An Eastern Underpass And An Elevator Pavilion At The North Side Of Major Mackenzie Drive West, Between Highway 400 And Jane Street, City Of Vaughan",Construction,Request for Pre-Qualification(RFPQ),
832,"Prequalification Of General Contractors For The Heating Ventilation And Air Conditioning Equipment Replacement At Newmarket Health Centre, 194 Eagle Street, Newmarket, Ontario",Construction,Request for Pre-Qualification(RFPQ),
841,Median String & Boulevard / Hardscape Trimming,Services,Request for Tender(RFT),
845,"Engineering Services For The Design, Contract Administration And Site Inspection Services Of The West Woodbridge Elevated Tank  Upgrades In The City Of Vaughan",Services,Request for Proposal(RFP),
849,"Boulevard Maintenance Within The Regional Municipality Of York In The Town Of Whitchurch-Stouffville, Town Of Aurora And The City Of Markham",Services,Request for Tender(RFT),
861,Construction Of Paramedic Response Station No. 22 At 12388 Woodbine Avenue In The Town Of Whitchurch-Stouffville,Construction,Request for Tender(RFT),
865,Application Of Longitudinal Pavement Markings Within The Regional Municipalit Of York,Services,Request for Tender(RFT),
869,Granular Material,Services,Request for Tender(RFT),
876,Mosquito Identification And Viral Testing,Services,Request for Tender(RFT),
878,Transit Operations And Maintenance Contract  West Transit Division,Services,Request for Information (RFI),
886,Update To York Region'S Inflow And Infiltration Reduction Strategy,Services,Request for Proposal(RFP),
887,Building Security Services For Housing York Inc.,Services,Request for Tender(RFT),
898,Consulting Services For Building Condition Assessments,Services,Request for Proposal(RFP),
909,Water And Wastewater Infrastructure Cost Models Update And Master Plan Works Cost Estimation,Services,Request for Proposal(RFP),
910,"Design, Contract Administration And Site Inspection Services For The Aurora Wells 1-4 Treatment Facility Standby Generator Replacement Project",Services,Request for Proposal(RFP),
915,"Supply & Delivery Of Authorized Original Equipment Manufacturer Parts And Service For John Deere, New Holland, Kubota And Toro Tractors And Mowers",Services,Request for Tender(RFT),
919,Installation Of Traffic Control Signals At Various Locations In The City Of Markham,Construction,Request for Tender(RFT),
925,Juvenile Tree Maintenance And Mulching,Services,Request for Tender(RFT),
930,"Landscape Maintenance Activities In The City Of Markham, City Of Richmond Hill, Town Of Aurora And Town Of Whitchurch-Stouffville",Services,Request for Tender(RFT),
933,"Architectural And Engineering Services For Paramedical Response Station At 53 Jacob Keffer Parkway, City Of Vaughan",Services,Request for Proposal(RFP),
936,"Replacement Of Existing Flat Roofs At Georgina Water Treatment Plant, 27135 Kennedy Road, Georgina",Construction,Request for Tender(RFT),
941,Woody Vegetation Maintenance Within The Regional Road Rights-Of-Way,Services,Request for Tender(RFT),
942,Installation Of Illumination At Various Locations In The Region Of York,Construction,Request for Tender(RFT),
950,"Overhead Flasher Installation, Concrete Median Construction And Concrete Median Extension At Various Locations In The City Of Vaughan",Construction,Request for Tender(RFT),
954,"Make-Up Air Unit Replacement At Maplewood Place, 71 Dunlop Street, Richmond Hill, Ontario",Construction,Request for Tender(RFT),
962,"Parking Lot, Front Entrance, And Walkway Replacement At Kingview Court, 90 Dew Street, King City",Construction,Request for Tender(RFT),
978,Mechanical Subcontractors For The Construction Of The York Regional Police #1 District Headquarters At 429 Harry Walker Parkway In The Town Of Newmarket,Construction,Request for Pre-Qualification(RFPQ),
984,"Bridge Rehabilitation On Jane Street, 150 M North Of King Road, And On King Road, 800 M East Of Highway 400, In The Township Of King",Construction,Request for Tender(RFT),
992,Vmware Software Enterprise License Agreement (Ela) Products And Maintenance,Goods,Request for Tender(RFT),
997,"Roof Replacement At Maplewood Place, 71 Dunlop Street In The City Of Richmond Hill",Construction,Request for Tender(RFT),
1015,"Asphalt Edge Repair, Pavement Marking And Granular Sealing At Various Locations In The Regional Municipality Of York",Construction,Request for Tender(RFT),
1021,Road Reconstruction And Widening On Major Mackenzie Drive Between Highway 50 And Highway 427 In The City Of Vaughan,Construction,Request for Tender(RFT),
1038,Supply & Delivery Of Four High Lift Articulating Front End Loaders,Goods,Request for Tender(RFT),
1042,2020-2021 Multi-Waste Audit,Services,Request for Tender(RFT),
1047,"General Contractor For The Vaughan City Hall Main Entrance Improvement At 2141 Major Mackenzie Drive West (Y.R. 25), In The City Of Vaughan",Construction,Request for Pre-Qualification(RFPQ),
1053,"Timber Bridge Deck And Wearing Surface Replacement On Kennedy Road, 1.6 Km North Of Mount Albert Road In The Town Of East Gwillimbury (Bridge 03-34 B1600)",Construction,Request for Tender(RFT),
1062,"Balcony Repairs And Railing Replacements At The Rose Town Apartments, 125 Pugsley Avenue In The City Of Richmond Hill",Construction,Request for Tender(RFT),
1084,Site Coordination And Inspection Services For 2020 Minor Capital Road Rehabilitation And Improvement Projects,Services,Request for Tender(RFT),
1088,"Catch Basin, Maintenance Hole And Curb Repair At Various Locations In The Region Of York",Construction,Request for Tender(RFT),
1094,"Asphalt Removal, Warm Mix Asphalt Paving, Intersection Improvements, Culvert Replacement, Road Widening And Construction Of Entrances On Woodbine Avenue (Y.R. 8) In The Town Of East Gwillimbury",Construction,Request for Tender(RFT),
1101,General Contractors For The York-Peel 900Mm Twin Forcemain Combination Air-Vacuum Valves Modifications In The City Of Vaughan And City Of Brampton,Construction,Request for Pre-Qualification(RFPQ),
1104,Aoda Modifications To Existing Traffic Control Signals And Repaving On Markham Road At Denison Street In The City Of Markham,Construction,Request for Tender(RFT),
1112,"Pre-Qualification Of General Contractor And Mechanical, Electrical, Micro-Tunneling For Bypass Pumping Subcontractors",Services,Request for Pre-Qualification(RFPQ),
1135,"Installation Of A New Sewage Pumping System Inside The Equalization Tank At The Aurora Sewage Pumping Station At 242 St. John’S Sideroad, Aurora",Construction,Request for Tender(RFT),
1138,"Partial Depth Removal Of Asphalt, Hot Mix Asphalt Paving And Intersection Improvements On Bayview Avenue (Y.R. 34) From 30 M North Of Steeles Avenue (Y.R. 95) To 45 M South Of 16Th Avenue (Y.R. 73) In The Cities Of Markham And Richmond Hill",Construction,Request for Tender(RFT),
1146,"Design, Engineering, Site Inspection And Contract Administration Services For The Georgina Water Treatment Plant Mussel Control System And Site Works",Services,Request for Proposal(RFP),
1149,Partial Depth Removal Of Asphalt And Hot Mix Asphalt Paving At Various Locations In The Region Of York,Construction,Request for Tender(RFT),
1156,Application Of Transverse Pavement Markings At Various Locations In The Region Of York,Construction,Request for Tender(RFT),
1159,"Asphalt Removal, Warm Mix Asphalt Paving And Culvert Replacement On King Road (Y.R. 11) From 1.5Km West Of Highway 27 To 0.5Km West Of Weston Road (Y.R. 56) In The Township Of King",Construction,Request for Tender(RFT),
1168,Tree Planting And Associated Establishment Activities Including Watering At Various York Region Locations,Construction,Request for Tender(RFT),
1171,"Prequalification Of A Contractor For The Provision Of Janitorial Services For Various Locations, Region Of York",Services,Request for Pre-Qualification(RFPQ),
1183,Engineering Services During Construction Of 16Th Avenue Sanitary Sewer Rehabilitation (Phase 2) In The City Of Markham,Services,Request for Proposal(RFP),
1186,Sinkhole Mitigation On Yonge Street From 100M South Of Henderson Drive To Industrial Parkway South In The Town Of Aurora,Construction,Request for Tender(RFT),
1196,Bridge And Underpass Washing At Various Locations Within York Region Gion,Services,Request for Tender(RFT),
1199,Engineering Services For The Development Of Cadd Requirements,Services,Request for Proposal(RFP),
1200,Engineering Services For Various Structure Replacements,Services,Request for Proposal(RFP),
1203,Supply And Operate Grader(S) In The Regional Municipality Of York,Goods,Request for Tender(RFT),
1207,Supply & Delviery Of Authorized Ford Original Equipment Manufacturers (Oem) Parts And Service,Goods,Request for Tender(RFT),
1208,Crack Sealing And Filling At Various Locations In The Region Of York,Construction,Request for Tender(RFT),
1212,Consulting Services For Energy Audits Of Housing Facilities,Services,Request for Proposal(RFP),
1226,Supply And Installation Of Vivastation Banners For York Region Rapid Transit Corporation,Goods,Request for Tender(RFT),
1231,Supply And Delivery Of Rental Uniforms And Miscellaneous Items For York Region'S Water And Wastewater Locations,Services,Request for Tender(RFT),
1233,Routine Preventative Maintenance For Standby Generators At Various York Region Facilities,Services,Request for Tender(RFT),
1240,Request For Pre-Qualification For A Consultant Roster For Public Engagement And Facilitation Experts,Services,Request for Pre-Qualification(RFPQ),
1259,Renovation Of The Seminar Room At York Region Administrative Centre,Construction,Request for Tender(RFT),
1266,Contractor Selection For The Supply Of Conduit,Goods,Request for Tender(RFT),
1271,Installation Of Traffic Control Signals At The Intersection Of Highway 7 (Y.R. 7) And Wooten Way South/Wooten Way North In The City Of Markham,Construction,Request for Tender(RFT),
1278,"Roadway Sweeping Services Within The Regional Municipality Of York’S Southeast, Southwest And Central Districts",Services,Request for Tender(RFT),
1282,"Phosphorus Removal Demonstration Project – Stormwater Management Pond Retrofits -Aurora Pond Sw6 At Tamarac Green Park, South Of Henderson Drive Between Mcclellan Way And Ardill Crescent, Town Of Aurora",Construction,Request for Tender(RFT),
1285,"Design, Contract Administration And Site Inspection For Keswick Water Resource Recovery Facility (Wrrf) Aeration Blower Replacement",Services,Request for Proposal(RFP),
1291,"South Yonge Street Corridor, Streetscape Master Plan Update",Services,Request for Proposal(RFP),
1294,Request For Information For Managed Print Services,Services,Request for Information (RFI),
1300,Air Management Policy – Jurisdictional Review,Services,Request for Quotation(RFQ),
1301,Consultants For Class Environmental Assessment Study For Railway Grade Separation To Elgin Mills Road (Y.R. 49) From Yonge Street (Y.R. 1) To Bayview Avenue (Y.R. 34),Services,Request for Pre-Qualification(RFPQ),
1306,General Contractors For The Rehabilitation Of The Leslie Street Sanitary Trunk Sewer Located In The City Of Markham,Construction,Request for Pre-Qualification(RFPQ),
1308,Consulting Services For Construction Of Southeast District Maintenance Yard And Snow Management Facility At 10988 And 10990 Warden Avenue,Services,Request for Proposal(RFP),
1314,Contractor Selection For The Supply Of Fibre Optic Cable,Goods,Request for Tender(RFT),
1322,"Pre-Qualification Of Contractors For The Replacement Of Existing Flat Roofs At Georgina Water Treatment Facility At 27135 Kennedy Road, In The Town Of Georgina",Construction,Request for Pre-Qualification(RFPQ),
1329,Benefit Consultant,Services,Request for Proposal(RFP),
1332,Imperva Securesphere Licenses And Support Services,Services,Request for Tender(RFT),
1334,"General Contractors For Medical Office Retrofit At 20849 Dalton Road, Sutton (Georgina Link)",Goods,Request for Pre-Qualification(RFPQ),
1349,Pre-Qualification Of General Contractors For Sutton Water Resource Recovery Facility New Equalization Tank &  Upgrades,Construction,Request for Pre-Qualification(RFPQ),
1356,Consultant Roster To Provide Services Under The Ici Capacity Buyback Incentive Program,Services,Request for Pre-Qualification(RFPQ),
1360,"Type Iii Modified Microsurfacing On Davis Drive (Y.R. 31) From 35 M East Of Yonge Street To 80 M East Of Harry Walker Parkway And On Mulock Drive (Y.R. 74) From 30 M East Of Yonge Street To 215 M East Of Harry Walker Parkway, In The Town Of Newmarket",Construction,Request for Tender(RFT),
1362,Supply And Delivery Of Liquid Poly Aluminum Chloride To Keswick Treatment Plant In York Region,Goods,Request for Tender(RFT),
1363,Symantec Services And Enhancement,Services,Request for Tender(RFT),
1370,Type Iii Modified Microsurfacing On Highway 7 (Y.R. 7) From 20 M East Of Allstate Parkway To 30 M West Of Town Centre Boulevard In The City Of Markham,Construction,Request for Tender(RFT),
1372,Intelligent Transportation Systems Maintenance Services For Yrt Viva Bus Rapid Transit Fleet,Services,Request for Proposal(RFP),
1374,Sewer Use Bylaw Update- A Study To Set Additional Parameters And Their Respective Discharge Limits,Services,Request for Proposal(RFP),
1376,General Contractors For Construction Of A New York Region Transit Terminal And Underpass Extension,Construction,Request for Pre-Qualification(RFPQ),
1391,Replacement Of Walkways And Landscape Surfaces At 145 Harry Walker Parkway In The Town Of Newmarket,Construction,Request for Tender(RFT),
1404,Removal Of Standing Timber From The York Regional Forsest Regional Forests,Services,Request for Quotation(RFQ),
1405,Rehabilitation Of The Ninth Line Sanitary Sewer Extension From Hoover Park Drive To Reeves Way Boulevard In The Town Of Whitchurch-Stouffville,Construction,Request for Tender(RFT),
1406,Detailed Design And Engineering Services For Intersection Improvements,Services,Request for Pre-Qualification(RFPQ),
1417,Psychosocial/Psychovocational Assessments,Services,Request for Proposal(RFP),
1419,Supply & Delivery Of One (1) Mobile Stacker,Goods,Request for Tender(RFT),
