,client_name,project_name,Category,bid_classification,bid_type,bid_ID,awarded_date,awarded_year,company_name
30,Brant County,Demolition Of 28 Dumfries Street And 24 Falkland Road,,Services,RFQ,COR-RFQ-19-01,2021-09-03 0:00,2019,Kieswetter Demolition Inc     Schouten Excavating Inc.    Tri-Phase Contracting Inc.       Malcolm Holdings IncBudget Environmental Disposal IncBel-Air Excavating & Grading Ltd.         Lions Group Inc
31,Brant County,Demolition Of The Onondaga Customer Service Office (Cso),,Services,RFQ,COR-RFQ-18-01,2021-07-24 0:00,2018,MAXX NORTH AMERICA GROUP INC.     Bellhouse Excavating   Kieswetter Demolition Inc
32,Brant County,"Drake Bridge, Mckay Bridge And Powerline Road Bridge Rehabilitation",,Construction,Tender,OPS-RFT-20-01,2021-05-06 0:00,2020,Clearwater Structures Inc.       Decew Construction Inc.    Carlington Construction Inc.         Sierra Bridge Inc.Finnbilt General Contracting Limited      KAPP Infrastructure Inc.
33,Brant County,Ewart Avenue Sanitary Sewer Extension,,Construction,Tender,PW-RFT-19-06,2021-08-22 0:00,2019,Gedco Excavating Ltd.Network Sewer and Watermain Ltd   Navacon Construction Inc.
34,Brant County,Flanner Bridge Rehabilitation And Anderson Bridge Rehabilitation,,Construction,Tender,PW-RFT-18-03,2021-03-27 0:00,2018,Carlington Construction Inc.      Coco Paving Inc.   National Structures Inc
35,Brant County,For The Supply And Delivery Of Various Speed Signs For The County Of Brant,,Goods,RFQ,PW-RFQ-19-19,2021-09-19 0:00,2019,Canadian Traffic Supply Inc       Traffic Logix Signalisation Kalitec inc.
36,Brant County,Geotechnical Consultants For Rest Acres Road Pavement Design,,Services,RFQ,PW-RFQ-17-18,2021-11-08 0:00,2017,McIntosh Perry Consulting Engineers Ltd.           Peto MacCallum Ltd.         Stantec Consulting Ltd.          Sola Engineering Inc.           DS Consultants Ltd.          SAFFA Engineering Inc            exp Services Inc.               GHD Limited             WSP Canada Inc.          Bo & Associates Inc.           Wood Canada Limited    Aecon Materials Engineering Corp.         Golder Associates Ltd.
37,Brant County,Geotechnical/Material Engineering Consultants For 2017 Detalied Condition Surveys,,Services,RFQ,PW-RFQ-17-17,2021-10-23 0:00,2017,Bridge Check Canada Ltd  Peto MacCallum Ltd.  Wood Canada Limited
38,Brant County,Grass Cutting & Trimming For Municipal Properties,,Services,Tender,CPS-RFT-20-01,2021-02-19 0:00,2020,1498548 Ontario Inc              2446070 ontario limited               4 Seasons Landscaping4054237 Canada Inc. o/a Sol-Mar Landscaping Con...              Blue Sky Home Services  Cooper Janitorial and Lawn Maintenance Servics              Dreamscape Contracting                   Green Collar            GREENBRIER LANDSCAPING INC.            Ibrahim Nassri Trading Inc.      JB Construction Management Corporation         KRAVE Landscape Construction Ltd      M&E Custom Renovations and Landscaping               McMillan Lawn Cutting              Mountview Services Inc.         Rodsan landscaping & services Ltd       Scarlet Oak Landscape Management Inc.                      Verdant
39,Brant County,Gravel Crushing,,Services,Tender,OPS-RFT-20-13,2021-10-27 0:00,2020,C. R. Chittick Construction Ltd.     Ontario Custom Crushing        Joe Kerr Limited      FERMAR PAVING LIMITED
40,Brant County,Harry Martin Bridge Deck Repair,,Construction,RFQ,PW-RFQ-17-19,2021-11-29 0:00,2017,Rankin Construction Inc.Clearwater Structures Inc.
41,Brant County,Hot Mix Paving - Rural And Urban Roads,,Construction,Tender,PW-RFT-18-16,2021-09-13 0:00,2018,Steed and Evans Limited       Brantco Construction        Capital Paving Inc         Coco Paving Inc.Associated Paving & Materials LTd.    E. & E. Seegmiller Limited
42,Brant County,Hot Mix Paving - Urban And Rural Roads,,Construction,Tender,PW-RFT-19-09,2021-07-23 0:00,2019,Brantco Construction    Capital Paving Inc     Coco Paving Inc.E. & E. Seegmiller Limited  Steed and Evans Limited
43,Brant County,Hydro Duct Installation,,Construction,RFQ,PW-RFQ-18-09,2021-06-27 0:00,2018,UNDERGROUND CONDUIT SOLUTIONS INC.Hastings Utilities Contracting Ltd.      Black & McDonald Limited          ONIX CONTRACTORS     K.P.C Power Electrical Ltd Network Underground Utilities Inc.             Landworks
44,Brant County,Interior Wall Repair For The Burford Community Centre,,Services,RFQ,COM-RFQ-18-10,2021-04-19 0:00,2018,Sabcon Inc.      2396814 Ontario INC     NTS Maintenance Plus   Abcott Construction Ltd.Tops Contracting Services Inc.       CPM Construction
45,Brant County,Johnson Bridge Rehabilitation,,Construction,Tender,PW-RFT-18-05,2021-05-24 0:00,2018,Carlington Construction Inc.        Huinink Corp Marbridge Construction Ltd.   Decew Construction Inc. Clearwater Structures Inc.   National Structures Inc
46,Brant County,Lions Park Pavillion And Maintenance Building Foundations,,Goods,RFQ,COM-RFQ-18-08,2021-03-29 0:00,2018,8995079 Canada Inc.        ONIX CONTRACTORS      STM Construction Ltd. Bestco Construction (2005) Ltd  Buildscapes Construction Ltd.          CSL Group Ltd Hardscape Concrete & Interlock  Titan Group Construction Inc.Sibwest Building Restoration Inc    Abcott Construction Ltd.      MJK Construction inc.   Vicano Construction Limited
47,Brant County,Little Creek Bridge Rehabilitation,,Construction,Tender,OPS-RFT-20-02,2021-04-22 0:00,2020,Clearwater Structures Inc.   Decew Construction Inc.Carlington Construction Inc.
48,Brant County,Lynden Road And German School Road Resurfacing,,Construction,Tender,PW-RFT-18-19,2021-06-22 0:00,2018,Capital Paving IncE. & E. Seegmiller Limited     Coco Paving Inc. Cox Construction Limited  Steed and Evans Limited   Brantco Construction
49,Brant County,Market Street Trail Fence Installation,,Services,RFQ,PW-RFQ-19-15,2021-07-23 0:00,2019,Armour Fencing & Railing Inc.        Imperial Fence
50,Brant County,Martin Culvert Replacement,,Construction,Tender,PW-RFT-17-04,2021-03-08 0:00,2018,Sierra Infrastructure Inc       Xterra Construction Inc.  Toronto Zenith Contracting Limited    Robert M Simon Construction Ltd          Premier North Ltd.          Bronte Construction           Coco Paving Inc.JB Construction Management Corporation
51,Brant County,Mechanic Street Footbridge Rehabilitation,,Construction,RFQ,PW-RFQ-19-20,2021-10-23 0:00,2019,Clearwater Structures Inc. Weathertech Restoration Services incJB Construction Management Corporation           Coco Paving Inc.          Sierra Bridge Inc.
52,Brant County,Municipal Class Environmental Assessment For Grand River Street North Corridor Capacity From St. Patrick Street To Watt'S Pond Road,Consulting - Water Wastewater Linear,Services,RFP,PW-RFP-17-07,2021-09-26 0:00,2017,First Nations Engineering Services LtdIBI Group Professional Services (Canada) Inc.             BT Engineering Inc.    Urban & Environmental Management Inc.      Associated Engineering (Ont.) Ltd.
53,Brant County,One (1) 40' Aerial Device-Cab And Chassis,,Goods,Tender,OPS-RFT-21-01,2021-02-23 0:00,2021,Carrier Centers             Allan Fyfe Equipment Ltd              Altec Industries Ltd.Integrated Distribution Systems LP (DBA. Wajax )
54,Brant County,One (1) Custom Fire Pumper Truck,Producer/Supplier,Goods,RFP,FIR-RFP-19-01,2021-10-29 0:00,2019,Carrier Centers Emergency Vehicles  Commercial Emergency Equipment          Darch Fire Inc.  Dependable Truck & Tank Limited  Safetek Emergency Vehicles Ltd.       Resqtech Systems Inc.
55,Brant County,Opp Detachment Furnishings,,Goods,RFQ,COR-RFQ-19-02,2021-02-19 0:00,2020,The Office Source Incorporated McGowan Office Interiors Inc
56,Brant County,Paris Community Pool Slide,,Services,RFP,COM-RFP-19-03,2021-04-12 0:00,2019,Infotech TnB inc.Acapulco Pools Limited
57,Brant County,Paris District High School Tennis Court Lighting Retrofit,,Construction,RFQ,CPS-RFQ-20-07,2021-08-21 0:00,2020,9757970 Canada Inc.           Energy Network Services Inc.                  Powerserve Inc                 English Electric            CM Lighting Maintenance LTD                 The Electricians                Master In Electric               EEL LIne CorporationF.I.X. Lighting Maintenance Services a Division...
58,Brant County,Paris Transfer Station Upgrades,,Construction,Tender,PW-RFT-18-12,2021-04-24 0:00,2018,Gedco Excavating Ltd.     MJK Construction inc.Sierra General Contracting Inc. Dufferin Construction Company Hardscape Concrete & Interlock
59,Brant County,Paris Wpcp Flow Meter Chamber,,Construction,RFQ,PW-RFQ-17-16,2021-10-12 0:00,2017,Xterra Construction Inc. Birnam Excavating Ltd.
60,Brant County,Parkhill Pumping Station Upgrades,,Construction,Tender,PW-RFT-17-06,2021-10-25 0:00,2017,BGL Contractors Corp     Baseline Constructors Inc.Superior Boiler Works & Welding Ltd.   Bestco Construction (2005) Ltd  Robert B. Somerville Co. Limited      Xterra Construction Inc.       SDI Builders 2010 Ltd.
61,Brant County,Penman'S Boardwalk,,Construction,RFQ,COM-RFQ-18-14,2021-12-17 0:00,2018,Hardscape Concrete & Interlock     NTS Maintenance Plus         CSL Group Ltd     Bomar Landscaping Inc
62,Brant County,Penman'S Pass Armour Stone Wall Repair,,Construction,RFQ,OPS-RFQ-20-16,2021-08-07 0:00,2020,Robert M Simon Construction Ltd         Bomar Landscaping Inc             CSL Group LtdJB Construction Management Corporation    Hardscape Concrete & Interlock
63,Brant County,Penman'S Pass Slope Restoration,,Construction,Tender,PW-RFT-18-11,2021-07-24 0:00,2018,Dufferin Construction Company         CSL Group Ltd  E. & E. Seegmiller LimitedHardscape Concrete & Interlock    Barcon Construction Inc
64,Brant County,"Pete Lavoie Parking Lot, Laneway And Trail",,Construction,Tender,COM-RFT-18-03,2021-05-28 0:00,2018,5 STAR PAVING (CAMBRIDGE) INC.              CSL Group Ltd           Paris Construction      Cornell Construction Limited       K-W Cornerstone Paving Ltd.         Onsite Contracting IncCambridge Landscaping & Construction Ltd          Gedco Excavating Ltd.         Barcon Construction Inc          Brantco Construction
65,Brant County,Pickle Culvert Rehabilitation,,Construction,Tender,OPS-RFT-20-03,2021-04-22 0:00,2020,Clearwater Structures Inc.    Sierra Bridge Inc.
66,Brant County,Pinehurst Park Playground,,Services,RFP,COM-RFP-20-01,2021-03-09 0:00,2020,Henderson Recreation Equipment Limited          ABC Recreation Ltd.       Openspace Solutions Inc.       PlayPower LT Canada Inc.       Park N Play Design Co Ltd
67,Brant County,Powerline Road Clearing And Grubbing,,Services,RFQ,PW-RFQ-18-04,2021-03-26 0:00,2018,Mountview Services Inc.    Geo Barnes & Sons Limited     Schouten Excavating Inc.     Bissonnette Tree Service    Beaver Brook Tree Service          CSL Group Ltd       2396814 Ontario INCClean Shot Environmental Services
68,Brant County,Powerline Road Reconstruction,,Construction,Tender,PW-RFT-18-08,2021-03-28 0:00,2018,E. & E. Seegmiller Limited        Elgin Construction Network Sewer and Watermain Ltd Regional Sewer and Watermain Ltd        Capital Paving Inc     Oxford Civil Group Inc.    Navacon Construction Inc.     Nabolsy Contracting Inc.Bel-Air Excavating & Grading Ltd. King Paving & Construction Ltd.
69,Brant County,Purchase Of One (1) New Mohltc Certified Type Iii Ambulance,,Goods,Tender,AMB-RFT-18-01,2021-08-28 0:00,2018,Crestline Coach Ltd.
70,Brant County,Pwpcp - Ras/Tas Flow Meter,,Goods,RFQ,PW-RFQ-19-06,2021-06-19 0:00,2019,Huskita Electrical IncKingdom Construction Limited
71,Brant County,Queen Street Servicing And Elm Street Watermain Looping,,Construction,Tender,OPS-RFT-20-04,2021-06-17 0:00,2020,Euro Ex ConstructionMorley's Contracting (Brantford) Ltd. LAKESIDE CONTRACTING COMPANY LIMITED
72,Brant County,Quotation For One (1) 1/2 Ton 2Wd Cargo Style Van,,Goods,RFQ,OPS-RFQ-20-02,2021-03-02 0:00,2021,East Court Ford LincolnMohawk Ford Sales (1996) Limited     Winegard Motors Limited
73,Brant County,Quotation For One (1) 3/4 Ton 2Wd Cargo Style Van,,Goods,RFQ,OPS-RFQ-21-04,2021-03-02 0:00,2021,East Court Ford LincolnMohawk Ford Sales (1996) Limited
74,Brant County,Quotation For Two (2) 1/2 Ton Standard Cab 4Wd Pickup Trucks,,Goods,RFQ,OPS-RFQ-21-01,2021-03-02 0:00,2021,Bill Houston Ford Ltd.        Finch Auto GroupMohawk Ford Sales (1996) LimitedOxford Dodge Chrysler (1992) LTD     Winegard Motors Limited
75,Brant County,Quotation For Two (2) 3/4 Ton 4Wd Standard Cab Pickup Trucks,,Goods,RFQ,OPS-RFQ-21-03,2021-03-02 0:00,2021,East Court Ford Lincoln        Finch Auto GroupMohawk Ford Sales (1996) LimitedOxford Dodge Chrysler (1992) LTD
76,Brant County,Reconstruction Of Branchton Road And Mclean School Road,,Construction,Tender,OPS-RFT-20-11,2021-06-17 0:00,2020,Coco Paving Inc.    Capital Paving Inc Cox Construction Limited   Gedco Excavating Ltd.  Steed and Evans Limited   Brantco ConstructionE. & E. Seegmiller Limited
77,Brant County,Remove And Dispose Of Top Soil And Boulders From Brant Business Park,,Construction,RFQ,PW-RFQ-18-07,2021-04-06 0:00,2018,Geo Barnes & Sons Limited County Line Custom Farming Inc      2396814 Ontario INC   Zucco Construction Limited     Gedco Excavating Ltd.  D.W. COOPER CONTRACTING LTD.       Paris ConstructionNetwork Sewer and Watermain Ltd      2224813 Ontario Inc       Fusillo Group Ltd      Bellhouse Excavating      Malcolm Holdings Inc
78,Brant County,Request For Proposal For Consultant Services For A Business Plan For Three (3) Indoor Recreation Facilities,,Services,RFP,COM-RFP-17-05,2021-03-29 0:00,2018,GSP Group Inc.    Nustadia Recreation IncSierra Planning and Management
79,Brant County,Request For Proposal For Consultant Services For A Three To Five Year Filming & Digital Media Strategy And Action Plan,,Services,RFP,COR-RFP-19-01,2021-02-06 0:00,2020,Optimus SBR Inc.  Mellor Murray ConsultingNGL Nordicity Group Limited     StrategyCorp Inc.
80,Brant County,Request For Proposal For Consultant Services For Environmental Monitoring And Reporting,,Services,RFP,PW-RFP-19-02,2021-12-24 0:00,2019,Dillon Consulting LimitedR.J. Burnside & Associates Limited      Stantec Consulting Ltd.          WSP Canada Inc.
81,Brant County,Request For Proposal For Consultant Services For Paris Lawn Bowling Club Feasibility Study And Business Plan,,Services,RFP,COM-RFP-19-01,2021-02-21 0:00,2019,GSP Group Inc.Novita Interpares Limited John MacDonald Architect
82,Brant County,Request For Proposal For Consultant Services For Penman'S Pass Slope Stabilization,,Services,RFP,PW-RFP-17-08,2021-02-06 0:00,2018,GHD LimitedIBI Group Professional Services (Canada) Inc.
83,Brant County,Request For Proposal For Consultant Services For Rest Acres Road Widening And Urbanization,Consulting - Water Wastewater Linear,Services,RFP,PW-RFP-18-02,2021-05-24 0:00,2018,IBI Group Professional Services (Canada) Inc.             BT Engineering Inc.             MTE Consultants Inc.
84,Brant County,Request For Proposal For Consultant Services For The Airport Elevated Water Storage Tank Contract Administration,,Services,RFP,PW-RFP-18-06,2021-07-24 0:00,2018,R.V. Anderson Associates LimitedFirst Nations Engineering Services Ltd
85,Brant County,Request For Proposal For Consultant Services For The County Of Brant Wayfinding Strategy,,Services,RFP,COR-RFP-17-03,2021-06-05 0:00,2017,Signage and Lighting Systems Inc    Stempski Kelly Associates        CIMA Canada Inc. Found Design LLC (d.b.a. MERJE)
86,Brant County,Request For Proposal For Consultant Services For The Supply Of A Mobile Automated Meter Reading Technology,,Services,RFP,PW-RFP-18-08,2021-02-19 0:00,2019,ICONIX Waterworks Limited PartnershipEvans Utility & Municipal Products Supply Limited                   KTI Limited               Wolseley Canada Inc.                  Metercor Inc.
87,Brant County,Request For Proposal For One (1) Custom Fire Pumper Truck,Producer/Supplier,Goods,RFP,CPS-RFP-20-03,2021-09-15 0:00,2020,Commercial Emergency EquipmentDependable Truck & Tank Limited   Fort Garry Fire Trucks Ltd       Metz Fire & RescueSafetek Emergency Vehicles Ltd.     Resqtech Systems Inc.
88,Brant County,Request For Proposal For Supply And Installation Of Splashpad Features For The Burford Community Centre,,Goods,RFP,PW-RFP-19-05,2021-11-21 0:00,2019,ABC Recreation Ltd.    NIRBO AQUATIC INCPark N Play Design Co Ltd
89,Brant County,Request For Proposal For Supply And Installation Of Water Meters And Installation Of County Of Brant Supplied Amr Transmitters,,Services,RFP,PW-RFP-19-01,2021-05-08 0:00,2019,ICONIX Waterworks Limited Partnership           EMCO CORPORATION Neptune Technology Group Canada Co.
90,Brant County,Roof Replacement And Various Repairs For The Paris Community Pool,,Services,RFQ,COM-RFQ-19-04,2021-04-12 0:00,2019,Atlas-Apex Roofing Inc.BML Roofing Systems Inc   Roque Enterprises
91,Brant County,Sanitary Sewer Grouting Repairs,,Services,RFQ,PW-RFQ-19-04,2021-05-14 0:00,2019,Capital Sewer Services Inc.   Nieltech Services Ltd.  2414002 Ontario Limited  PipeFlo Contracting Corp  Sewer Technologies Inc.
92,Brant County,Sanitary Sewer System Flushing & Cctv Inspection,,Services,RFQ,OPS-RFQ-20-02,2021-04-14 0:00,2020,2414002 Ontario Limited     Dambro Environmental Inc.      PipeFlo Contracting Corp     Clearwater Structures Inc.Pipetek Infrastructure Services Inc            Wessuc Inc.
93,Brant County,Softball Diamond Illumination - Green Lane Sports Complex,,Services,Tender,COM-RFT-19-01,2021-07-25 0:00,2019,Sentry Electric Inc.
94,Brant County,Solid Waste Facilities Operations,,Services,Tender,PW-RFT-18-22,2021-03-04 0:00,2019,Future Waste Systems (Niagara) Inc.
95,Brant County,Summit Park Trail & Various Landscaping,,Construction,RFQ,CPS-RFQ-20-08,2021-10-15 0:00,2020,5 STAR PAVING (CAMBRIDGE) INC.     Brantco Construction Crimson Leaf Landscaping Ltd      Oakridge Group Inc.         CSL Group Ltd          Enscon Ltd
96,Brant County,Supply And Apply Calcium Cloride For Dust Control,,Goods,Tender,PW-RFT-18-04,2021-03-27 0:00,2018,Miller Paving limitedDa-Lee Dust Control Limited  POLLARD DISTRIBUTION INC
97,Brant County,Supply And Delivery Of Bunker Gear For The County Of Brant Fire Department,,Goods,RFP,CPS-RFP-20-04,2021-10-27 0:00,2020,"3635112 Canada Inc. O/A M&L Supply, Fire & Safety.              A.J. Stone Company Ltd.                  Darch Fire Inc.              Safedesign Apparel Ltd.              Starfield LION Company            Platinum Fire Equipment Inc"
98,Brant County,Supply And Delivery Of Traffic Signs,,Goods,RFQ,OPS-RFQ-20-14,2021-05-22 0:00,2020,Stinson Equipment Limited O/A Stinson Owl-Lite                 Maximum Signs           B.M.R. Manufacturing Inc.                Cedar Signs Inc
99,Brant County,Supply And Delivery Of Traffic Signs,,Goods,RFQ,PW-RFQ-18-18,2021-10-11 0:00,2018,Tecvalco Ltd.Stinson Equipment Limited O/A Stinson Owl-Lite                Cedar Signs Inc               Forward Signs Inc                 Maximum Signs            Strada Sign Supply Inc
100,Brant County,Supply And Delivery Of Two (2) New Mohltc Certified Type Iii Ambulances,,Goods,Tender,AMB-RFT-20-01,2021-03-26 0:00,2020,Crestline Coach Ltd.Demers Ambulance Manufacturer Inc.
101,Brant County,Supply And Delivery Of Winter Salt,,Goods,Tender,PW-RFT-18-21,2021-09-25 0:00,2018,"Cargill Salt, Road Safety a Division of Cargill..."
102,Brant County,Supply And Install Fencing At The Babicz Pit,,Services,RFQ,PW-RFQ-19-23,2021-10-29 0:00,2019,Armour Fencing & Railing Inc.       Bond Fence Ltd.       Jay Fencing Ltd.     KWIK POST 2018 INC.Neptune Security Services Inc  Peninsula Construction Inc
